code,text
011011,札幌市中央区
011029,札幌市北区
011037,札幌市東区
011045,札幌市白石区
011053,札幌市豊平区
011061,札幌市南区
011070,札幌市西区
011088,札幌市厚別区
011096,札幌市手稲区
011100,札幌市清田区
012025,函館市
012033,小樽市
012041,旭川市
012050,室蘭市
012068,釧路市
012076,帯広市
012084,北見市
012092,夕張市
012106,岩見沢市
012114,網走市
012122,留萌市
012131,苫小牧市
012149,稚内市
012157,美唄市
012165,芦別市
012173,江別市
012181,赤平市
012190,紋別市
012203,士別市
012211,名寄市
012220,三笠市
012238,根室市
012246,千歳市
012254,滝川市
012262,砂川市
012271,歌志内市
012289,深川市
012297,富良野市
012301,登別市
012319,恵庭市
012335,伊達市
012343,北広島市
012351,石狩市
012360,北斗市
013030,当別町
013048,新篠津村
013315,松前町
013323,福島町
013331,知内町
013340,木古内町
013374,七飯町
013439,鹿部町
013455,森町
013463,八雲町
013471,長万部町
013617,江差町
013625,上ノ国町
013633,厚沢部町
013641,乙部町
013676,奥尻町
013706,今金町
013714,せたな町
013919,島牧村
013927,寿都町
013935,黒松内町
013943,蘭越町
013951,ニセコ町
013960,真狩村
013978,留寿都村
013986,喜茂別町
013994,京極町
014001,倶知安町
014010,共和町
014028,岩内町
014036,泊村
014044,神恵内村
014052,積丹町
014061,古平町
014079,仁木町
014087,余市町
014095,赤井川村
014231,南幌町
014249,奈井江町
014257,上砂川町
014273,由仁町
014281,長沼町
014290,栗山町
014303,月形町
014311,浦臼町
014320,新十津川町
014338,妹背牛町
014346,秩父別町
014362,雨竜町
014371,北竜町
014389,沼田町
014524,鷹栖町
014532,東神楽町
014541,当麻町
014559,比布町
014567,愛別町
014575,上川町
014583,東川町
014591,美瑛町
014605,上富良野町
014613,中富良野町
014621,南富良野町
014630,占冠村
014648,和寒町
014656,剣淵町
014681,下川町
014699,美深町
014702,音威子府村
014711,中川町
014729,幌加内町
014818,増毛町
014826,小平町
014834,苫前町
014842,羽幌町
014851,初山別村
014869,遠別町
014877,天塩町
015113,猿払村
015121,浜頓別町
015130,中頓別町
015148,枝幸町
015164,豊富町
015172,礼文町
015181,利尻町
015199,利尻富士町
015202,幌延町
015431,美幌町
015440,津別町
015458,斜里町
015466,清里町
015474,小清水町
015491,訓子府町
015504,置戸町
015521,佐呂間町
015555,遠軽町
015598,湧別町
015601,滝上町
015610,興部町
015628,西興部村
015636,雄武町
015644,大空町
015717,豊浦町
015750,壮瞥町
015784,白老町
015814,厚真町
015849,洞爺湖町
015857,安平町
015865,むかわ町
016012,日高町
016021,平取町
016047,新冠町
016071,浦河町
016080,様似町
016098,えりも町
016101,新ひだか町
016314,音更町
016322,士幌町
016331,上士幌町
016349,鹿追町
016357,新得町
016365,清水町
016373,芽室町
016381,中札内村
016390,更別村
016411,大樹町
016420,広尾町
016438,幕別町
016446,池田町
016454,豊頃町
016462,本別町
016471,足寄町
016489,陸別町
016497,浦幌町
016616,釧路町
016624,厚岸町
016632,浜中町
016641,標茶町
016659,弟子屈町
016675,鶴居村
016683,白糠町
016918,別海町
016926,中標津町
016934,標津町
016942,羅臼町

